year,RU1,RU2,RU3,RU4,RU5,RU6,RU7,RU8,RU9
2013,5092,3150,3431,3538,3698,4742,3934,1887,3770
2014,4793,3352,3693,3590,3412,3827,3787,2126,3491
2015,3469,2561,2655,2787,2661,3356,3234,1652,2743
2016,2994,2495,2578,2667,2387,3333,2969,1541,2347
2017,2941,2428,2559,2820,2650,3299,2562,1572,2220
2018,2697,2455,2450,2514,2256,3051,2396,1588,2181
2019,2614,2166,2329,2128,2142,2583,2101,1445,2058
2020,2217,1818,2178,1665,1863,2190,1936,1117,1811
2021,1993,1619,1782,1498,1686,2058,1634,1124,1784
2022,2092,1825,1916,1695,1828,2239,1854,1130,2005
average,3090.2,2386.9,2557.1,2490.2,2458.3,3067.8,2640.7,1518.2,2441
